Id;Date;Year;Month;Year_Month_Number;Year_Month_Name;Day;Day_Name;Day_Name_Short;Month_Name;Month_Name_Short;Quarter;Quarter_Name;Year_Quarter_Number;Year_Quarter_Name;Week_Number;Day_of_Year;Singular_Day;Name_Singular_Day
0;1/1/2020;2020;1;202001;2020-Jan;1;Wednesday;Wed;January;Jan;1;Q1;2020Q;2020 Q1;1;1;NORMAL;NORMAL
1;1/2/2020;2020;1;202001;2020-Jan;2;Thursday;Thu;January;Jan;1;Q1;2020Q;2020 Q1;1;2;NORMAL;NORMAL
2;1/3/2020;2020;1;202001;2020-Jan;3;Friday;Fri;January;Jan;1;Q1;2020Q;2020 Q1;1;3;NORMAL;NORMAL
3;1/4/2020;2020;1;202001;2020-Jan;4;Saturday;Sat;January;Jan;1;Q1;2020Q;2020 Q1;1;4;NORMAL;NORMAL
4;1/5/2020;2020;1;202001;2020-Jan;5;Sunday;Sun;January;Jan;1;Q1;2020Q;2020 Q1;1;5;NORMAL;NORMAL
5;1/6/2020;2020;1;202001;2020-Jan;6;Monday;Mon;January;Jan;1;Q1;2020Q;2020 Q1;2;6;NORMAL;NORMAL
6;1/7/2020;2020;1;202001;2020-Jan;7;Tuesday;Tue;January;Jan;1;Q1;2020Q;2020 Q1;2;7;NORMAL;NORMAL
7;1/8/2020;2020;1;202001;2020-Jan;8;Wednesday;Wed;January;Jan;1;Q1;2020Q;2020 Q1;2;8;NORMAL;NORMAL
8;1/9/2020;2020;1;202001;2020-Jan;9;Thursday;Thu;January;Jan;1;Q1;2020Q;2020 Q1;2;9;NORMAL;NORMAL
9;1/10/2020;2020;1;202001;2020-Jan;10;Friday;Fri;January;Jan;1;Q1;2020Q;2020 Q1;2;10;NORMAL;NORMAL
10;1/11/2020;2020;1;202001;2020-Jan;11;Saturday;Sat;January;Jan;1;Q1;2020Q;2020 Q1;2;11;NORMAL;NORMAL
11;1/12/2020;2020;1;202001;2020-Jan;12;Sunday;Sun;January;Jan;1;Q1;2020Q;2020 Q1;2;12;NORMAL;NORMAL
12;1/13/2020;2020;1;202001;2020-Jan;13;Monday;Mon;January;Jan;1;Q1;2020Q;2020 Q1;3;13;NORMAL;NORMAL
13;1/14/2020;2020;1;202001;2020-Jan;14;Tuesday;Tue;January;Jan;1;Q1;2020Q;2020 Q1;3;14;NORMAL;NORMAL
14;1/15/2020;2020;1;202001;2020-Jan;15;Wednesday;Wed;January;Jan;1;Q1;2020Q;2020 Q1;3;15;NORMAL;NORMAL
15;1/16/2020;2020;1;202001;2020-Jan;16;Thursday;Thu;January;Jan;1;Q1;2020Q;2020 Q1;3;16;NORMAL;NORMAL
16;1/17/2020;2020;1;202001;2020-Jan;17;Friday;Fri;January;Jan;1;Q1;2020Q;2020 Q1;3;17;NORMAL;NORMAL
17;1/18/2020;2020;1;202001;2020-Jan;18;Saturday;Sat;January;Jan;1;Q1;2020Q;2020 Q1;3;18;NORMAL;NORMAL
18;1/19/2020;2020;1;202001;2020-Jan;19;Sunday;Sun;January;Jan;1;Q1;2020Q;2020 Q1;3;19;NORMAL;NORMAL
19;1/20/2020;2020;1;202001;2020-Jan;20;Monday;Mon;January;Jan;1;Q1;2020Q;2020 Q1;4;20;NORMAL;NORMAL
20;1/21/2020;2020;1;202001;2020-Jan;21;Tuesday;Tue;January;Jan;1;Q1;2020Q;2020 Q1;4;21;NORMAL;NORMAL
21;1/22/2020;2020;1;202001;2020-Jan;22;Wednesday;Wed;January;Jan;1;Q1;2020Q;2020 Q1;4;22;NORMAL;NORMAL
22;1/23/2020;2020;1;202001;2020-Jan;23;Thursday;Thu;January;Jan;1;Q1;2020Q;2020 Q1;4;23;NORMAL;NORMAL
23;1/24/2020;2020;1;202001;2020-Jan;24;Friday;Fri;January;Jan;1;Q1;2020Q;2020 Q1;4;24;NORMAL;NORMAL
24;1/25/2020;2020;1;202001;2020-Jan;25;Saturday;Sat;January;Jan;1;Q1;2020Q;2020 Q1;4;25;NORMAL;NORMAL
25;1/26/2020;2020;1;202001;2020-Jan;26;Sunday;Sun;January;Jan;1;Q1;2020Q;2020 Q1;4;26;NORMAL;NORMAL
26;1/27/2020;2020;1;202001;2020-Jan;27;Monday;Mon;January;Jan;1;Q1;2020Q;2020 Q1;5;27;NORMAL;NORMAL
27;1/28/2020;2020;1;202001;2020-Jan;28;Tuesday;Tue;January;Jan;1;Q1;2020Q;2020 Q1;5;28;NORMAL;NORMAL
28;1/29/2020;2020;1;202001;2020-Jan;29;Wednesday;Wed;January;Jan;1;Q1;2020Q;2020 Q1;5;29;NORMAL;NORMAL
29;1/30/2020;2020;1;202001;2020-Jan;30;Thursday;Thu;January;Jan;1;Q1;2020Q;2020 Q1;5;30;NORMAL;NORMAL
30;1/31/2020;2020;1;202001;2020-Jan;31;Friday;Fri;January;Jan;1;Q1;2020Q;2020 Q1;5;31;NORMAL;NORMAL
31;2/1/2020;2020;2;202002;2020-Feb;1;Saturday;Sat;February;Feb;1;Q1;2020Q;2020 Q1;5;32;NORMAL;NORMAL
32;2/2/2020;2020;2;202002;2020-Feb;2;Sunday;Sun;February;Feb;1;Q1;2020Q;2020 Q1;5;33;NORMAL;NORMAL
33;2/3/2020;2020;2;202002;2020-Feb;3;Monday;Mon;February;Feb;1;Q1;2020Q;2020 Q1;6;34;NORMAL;NORMAL
34;2/4/2020;2020;2;202002;2020-Feb;4;Tuesday;Tue;February;Feb;1;Q1;2020Q;2020 Q1;6;35;NORMAL;NORMAL
35;2/5/2020;2020;2;202002;2020-Feb;5;Wednesday;Wed;February;Feb;1;Q1;2020Q;2020 Q1;6;36;NORMAL;NORMAL
36;2/6/2020;2020;2;202002;2020-Feb;6;Thursday;Thu;February;Feb;1;Q1;2020Q;2020 Q1;6;37;NORMAL;NORMAL
37;2/7/2020;2020;2;202002;2020-Feb;7;Friday;Fri;February;Feb;1;Q1;2020Q;2020 Q1;6;38;NORMAL;NORMAL
38;2/8/2020;2020;2;202002;2020-Feb;8;Saturday;Sat;February;Feb;1;Q1;2020Q;2020 Q1;6;39;NORMAL;NORMAL
39;2/9/2020;2020;2;202002;2020-Feb;9;Sunday;Sun;February;Feb;1;Q1;2020Q;2020 Q1;6;40;NORMAL;NORMAL
40;2/10/2020;2020;2;202002;2020-Feb;10;Monday;Mon;February;Feb;1;Q1;2020Q;2020 Q1;7;41;NORMAL;NORMAL
41;2/11/2020;2020;2;202002;2020-Feb;11;Tuesday;Tue;February;Feb;1;Q1;2020Q;2020 Q1;7;42;NORMAL;NORMAL
42;2/12/2020;2020;2;202002;2020-Feb;12;Wednesday;Wed;February;Feb;1;Q1;2020Q;2020 Q1;7;43;NORMAL;NORMAL
43;2/13/2020;2020;2;202002;2020-Feb;13;Thursday;Thu;February;Feb;1;Q1;2020Q;2020 Q1;7;44;NORMAL;NORMAL
44;2/14/2020;2020;2;202002;2020-Feb;14;Friday;Fri;February;Feb;1;Q1;2020Q;2020 Q1;7;45;SINGULAR;Valentine's Day
45;2/15/2020;2020;2;202002;2020-Feb;15;Saturday;Sat;February;Feb;1;Q1;2020Q;2020 Q1;7;46;NORMAL;NORMAL
46;2/16/2020;2020;2;202002;2020-Feb;16;Sunday;Sun;February;Feb;1;Q1;2020Q;2020 Q1;7;47;NORMAL;NORMAL
47;2/17/2020;2020;2;202002;2020-Feb;17;Monday;Mon;February;Feb;1;Q1;2020Q;2020 Q1;8;48;NORMAL;NORMAL
48;2/18/2020;2020;2;202002;2020-Feb;18;Tuesday;Tue;February;Feb;1;Q1;2020Q;2020 Q1;8;49;NORMAL;NORMAL
49;2/19/2020;2020;2;202002;2020-Feb;19;Wednesday;Wed;February;Feb;1;Q1;2020Q;2020 Q1;8;50;NORMAL;NORMAL
50;2/20/2020;2020;2;202002;2020-Feb;20;Thursday;Thu;February;Feb;1;Q1;2020Q;2020 Q1;8;51;NORMAL;NORMAL
51;2/21/2020;2020;2;202002;2020-Feb;21;Friday;Fri;February;Feb;1;Q1;2020Q;2020 Q1;8;52;NORMAL;NORMAL
52;2/22/2020;2020;2;202002;2020-Feb;22;Saturday;Sat;February;Feb;1;Q1;2020Q;2020 Q1;8;53;NORMAL;NORMAL
53;2/23/2020;2020;2;202002;2020-Feb;23;Sunday;Sun;February;Feb;1;Q1;2020Q;2020 Q1;8;54;NORMAL;NORMAL
54;2/24/2020;2020;2;202002;2020-Feb;24;Monday;Mon;February;Feb;1;Q1;2020Q;2020 Q1;9;55;NORMAL;NORMAL
55;2/25/2020;2020;2;202002;2020-Feb;25;Tuesday;Tue;February;Feb;1;Q1;2020Q;2020 Q1;9;56;NORMAL;NORMAL
56;2/26/2020;2020;2;202002;2020-Feb;26;Wednesday;Wed;February;Feb;1;Q1;2020Q;2020 Q1;9;57;NORMAL;NORMAL
57;2/27/2020;2020;2;202002;2020-Feb;27;Thursday;Thu;February;Feb;1;Q1;2020Q;2020 Q1;9;58;NORMAL;NORMAL
58;2/28/2020;2020;2;202002;2020-Feb;28;Friday;Fri;February;Feb;1;Q1;2020Q;2020 Q1;9;59;NORMAL;NORMAL
59;2/29/2020;2020;2;202002;2020-Feb;29;Saturday;Sat;February;Feb;1;Q1;2020Q;2020 Q1;9;60;NORMAL;NORMAL
60;3/1/2020;2020;3;202003;2020-Mar;1;Sunday;Sun;March;Mar;1;Q1;2020Q;2020 Q1;9;61;NORMAL;NORMAL
61;3/2/2020;2020;3;202003;2020-Mar;2;Monday;Mon;March;Mar;1;Q1;2020Q;2020 Q1;10;62;NORMAL;NORMAL
62;3/3/2020;2020;3;202003;2020-Mar;3;Tuesday;Tue;March;Mar;1;Q1;2020Q;2020 Q1;10;63;NORMAL;NORMAL
63;3/4/2020;2020;3;202003;2020-Mar;4;Wednesday;Wed;March;Mar;1;Q1;2020Q;2020 Q1;10;64;NORMAL;NORMAL
64;3/5/2020;2020;3;202003;2020-Mar;5;Thursday;Thu;March;Mar;1;Q1;2020Q;2020 Q1;10;65;NORMAL;NORMAL
65;3/6/2020;2020;3;202003;2020-Mar;6;Friday;Fri;March;Mar;1;Q1;2020Q;2020 Q1;10;66;NORMAL;NORMAL
66;3/7/2020;2020;3;202003;2020-Mar;7;Saturday;Sat;March;Mar;1;Q1;2020Q;2020 Q1;10;67;NORMAL;NORMAL
67;3/8/2020;2020;3;202003;2020-Mar;8;Sunday;Sun;March;Mar;1;Q1;2020Q;2020 Q1;10;68;NORMAL;NORMAL
68;3/9/2020;2020;3;202003;2020-Mar;9;Monday;Mon;March;Mar;1;Q1;2020Q;2020 Q1;11;69;NORMAL;NORMAL
69;3/10/2020;2020;3;202003;2020-Mar;10;Tuesday;Tue;March;Mar;1;Q1;2020Q;2020 Q1;11;70;NORMAL;NORMAL
70;3/11/2020;2020;3;202003;2020-Mar;11;Wednesday;Wed;March;Mar;1;Q1;2020Q;2020 Q1;11;71;NORMAL;NORMAL
71;3/12/2020;2020;3;202003;2020-Mar;12;Thursday;Thu;March;Mar;1;Q1;2020Q;2020 Q1;11;72;NORMAL;NORMAL
