id,idDate,idProduct,idSale,quantity,discount,stockDevelop
1,358,1,0,20,0.45,0
2,351,1,0,46,0.65,0
3,328,1,0,260,0.55,0
4,328,2,1,50,0.15,15
5,358,2,1,60,0.3,5
6,351,2,1,75,0.3,0
7,119,3,2,25,0.2,15
8,28,3,2,30,0.25,10
9,328,3,2,40,0.3,0
10,119,4,4,100,0.2,20
11,328,4,4,140,0.15,10
12,328,4,4,80,0.25,5
13,27,4,4,140,0.1,30
14,29,4,4,180,0.2,15
15,351,4,4,20,0.15,0
16,29,4,4,140,0.2,20
17,328,4,5,120,0.15,10
18,324,4,5,90,0.25,5
19,351,4,5,1670,0.1,30
20,169,4,5,170,0.2,15
21,351,4,5,56,0.15,0
22,351,4,6,560,0.1,30
23,134,4,6,130,0.2,15
24,134,4,6,450,0.15,0
25,351,4,7,87,0.1,30
26,134,4,7,140,0.2,15
27,266,4,7,212,0.15,0
28,351,4,8,180,0.1,30
29,266,4,8,190,0.2,15
30,351,4,8,20,0.15,0
