ID,Date_ID,Sale_ID,Quantity,Discount,Stock_Develop
1,351,7271,56,0.0,70
2,775,861,1,0.0,84
3,1446,5391,26,0.0,63
4,185,5192,29,0.0,16
5,694,5735,35,0.0,98
6,694,6266,37,0.0,63
7,410,467,10,0.0,48
8,410,4427,69,0.0,24
9,1424,5579,94,0.0,38
10,915,8323,4,0.0,68
11,185,1686,71,0.0,23
12,775,770,61,0.0,89
13,129,6950,84,0.0,13
14,185,2434,92,0.0,34
15,185,5312,7,0.0,94
16,1280,5052,75,0.0,9
17,410,6421,49,0.0,68
18,351,1185,61,0.0,52
19,1280,4556,14,0.0,65
20,494,3386,72,0.0,10
21,694,6397,24,0.0,70
22,129,8667,51,0.0,42
23,859,9275,31,0.0,49
24,494,2559,2,0.0,85
25,775,7850,72,0.0,49
26,775,2048,91,0.0,35
27,44,2748,43,0.0,92
28,1081,9168,88,0.0,59
29,410,9999,51,0.0,52
30,44,190,70,0.0,87
31,1059,2735,11,0.0,55
32,1280,3006,49,0.0,86
33,44,4659,16,0.0,19
34,1059,1900,93,0.0,19
35,1424,7735,41,0.0,2
36,185,1268,30,0.0,77
37,410,1529,45,0.0,76
38,494,3557,71,0.0,89
39,716,3891,16,0.0,8
40,494,8839,31,0.0,83
41,410,5394,11,0.0,65
42,1081,8793,83,0.0,22
43,859,8434,78,0.0,89
44,915,7514,79,0.0,64
45,494,2613,8,0.0,31
46,716,7042,12,0.0,33
47,859,9556,88,0.0,67
48,1224,6236,61,0.0,81
49,915,5487,38,0.0,50
50,129,7100,55,0.0,2
51,410,9671,13,0.0,58
52,1280,776,82,0.0,47
53,1446,8227,35,0.0,77
54,1280,3153,93,0.0,50
55,1446,1586,62,0.0,34
56,494,3944,20,0.0,94
57,1424,7556,54,0.0,30
58,1224,3074,98,0.0,26
59,550,1022,67,0.0,36
60,1140,3844,63,0.0,40
61,1224,7990,99,0.0,47
62,129,9693,95,0.0,92
63,1059,6874,71,0.0,97
