ID,Sale_Category,Product_Source_ID,Product_Associate_ID,Distance
0,Associative,51,44,71.19
1,Additive,71,66,57.37
2,Associative,96,2,80.44
3,Associative,48,59,63.31
4,Associative,19,17,79.01
5,Additive,6,10,69.98
6,Associative,84,18,20.12
7,Associative,27,22,6.18
8,Associative,53,83,90.44
9,Additive,48,58,94.62
10,Associative,7,53,72.97
11,Associative,59,1,72.7
12,Associative,69,88,27.74
13,Associative,11,61,54.7
14,Additive,15,100,99.23
15,Associative,64,89,85.76
16,Additive,3,100,31.14
17,Additive,69,31,30.8
18,Additive,23,31,48.87
19,Associative,53,66,41.06
20,Additive,37,19,37.74
21,Associative,9,53,63.07
22,Additive,15,76,2.14
23,Additive,3,74,76.57
24,Additive,93,95,74.27
25,Additive,70,22,83.2
26,Additive,17,23,84.3
27,Additive,26,87,57.07
28,Additive,21,15,78.23
29,Additive,72,26,49.75
30,Associative,21,3,95.2
31,Associative,11,87,19.88
32,Additive,38,20,91.65
33,Additive,72,40,26.59
34,Additive,88,39,11.17
35,Associative,35,72,44.47
36,Additive,14,18,61.88
37,Associative,14,41,23.87
38,Associative,10,70,56.02
39,Associative,12,27,80.98
40,Associative,38,100,26.45
41,Associative,34,15,58.45
42,Additive,41,37,34.59
43,Additive,10,58,53.45
44,Additive,17,5,67.02
45,Additive,17,73,35.69
46,Additive,67,7,99.45
47,Associative,62,41,56.81
48,Additive,95,84,82.62
49,Additive,1,10,72.79
50,Associative,12,62,85.43
51,Additive,4,26,18.21
52,Associative,42,68,23.03
53,Additive,13,24,49.25
54,Associative,98,78,85.38
55,Additive,85,41,20.56
56,Additive,86,65,97.14
57,Associative,4,17,13.63
58,Associative,82,24,18.33
59,Associative,69,27,17.56
60,Associative,19,7,59.01
61,Associative,2,73,91.84
62,Associative,12,99,26.26
63,Associative,81,12,55.75
64,Associative,74,85,18.4
65,Additive,98,3,63.48
66,Additive,6,79,13.2
67,Associative,8,85,49.64
68,Additive,51,10,65.86
69,Additive,11,33,58.33
70,Additive,63,46,14.86
71,Additive,57,59,16.98
72,Associative,12,52,67.47
73,Additive,73,6,81.08
74,Associative,2,2,90.9
75,Additive,8,29,81.55
76,Additive,11,40,97.42
77,Additive,53,97,41.42
78,Associative,100,61,33.79
79,Additive,10,68,3.79
80,Associative,85,68,45.54
81,Additive,84,29,65.49
82,Associative,8,62,81.73
83,Additive,36,60,27.48
84,Associative,93,84,51.85
85,Associative,76,41,66.54
86,Additive,14,87,55.61
87,Associative,54,82,28.13
88,Additive,85,89,79.83
89,Additive,86,65,18.16
90,Additive,21,64,90.59
91,Additive,50,79,95.31
92,Additive,94,63,37.19
93,Additive,39,98,38.24
94,Additive,20,48,74.58
95,Additive,88,20,46.17
96,Additive,87,37,3.83
97,Additive,7,64,92.07
98,Additive,9,91,43.64
99,Associative,1,86,21.15
100,Associative,26,5,56.01
101,Additive,38,34,22.67
102,Additive,38,39,21.4
103,Additive,61,67,55.03
104,Additive,44,81,39.71
105,Additive,86,62,57.73
106,Additive,44,88,99.69
107,Additive,74,24,86.04
108,Additive,62,3,1.76
109,Associative,6,71,6.01
110,Additive,17,89,61.4
111,Associative,51,67,63.0
112,Additive,38,79,87.94
113,Additive,24,93,63.28
114,Associative,51,50,23.54
115,Additive,10,29,47.38
116,Associative,72,74,81.09
117,Additive,21,32,92.36
118,Additive,70,87,24.45
119,Associative,85,39,54.42
120,Additive,57,9,16.73
121,Associative,39,14,50.2
122,Additive,88,68,9.92
123,Associative,33,64,94.23
124,Associative,59,20,64.17
125,Additive,18,28,85.57
126,Additive,56,14,99.83
127,Associative,92,44,19.08
128,Additive,57,98,69.72
129,Additive,96,77,88.81
130,Additive,76,95,58.02
131,Associative,48,97,64.33
132,Associative,42,39,41.36
133,Associative,27,28,67.8
134,Associative,74,64,40.16
135,Associative,52,89,48.19
136,Associative,42,32,11.19
137,Associative,32,9,1.77
138,Associative,26,28,6.46
139,Associative,25,95,20.06
140,Additive,75,17,46.2
141,Associative,23,87,3.08
142,Additive,98,77,16.44
143,Additive,57,55,78.36
144,Additive,52,10,76.45
145,Associative,87,80,79.18
146,Associative,93,6,92.23
147,Associative,31,48,12.79
148,Associative,64,75,17.15
149,Additive,71,67,34.02
150,Associative,33,92,91.6
151,Associative,85,41,77.77
152,Associative,2,79,33.09
153,Associative,18,60,9.68
154,Associative,47,77,62.02
155,Additive,33,42,26.43
156,Associative,98,81,53.58
157,Additive,84,71,94.24
158,Associative,35,28,57.69
159,Additive,51,13,92.46
160,Associative,18,81,39.91
161,Associative,88,15,63.7
162,Additive,72,36,89.5
163,Additive,30,92,59.21
164,Additive,44,15,61.87
165,Associative,53,75,71.91
166,Additive,10,56,88.33
167,Associative,87,95,9.73
168,Associative,52,4,34.35
169,Additive,49,99,40.37
170,Additive,11,98,91.06
171,Associative,66,52,95.64
172,Associative,58,91,12.92
173,Additive,90,10,12.79
